Nom d'établissement,Pays,Ville,Statut MLF,Comprendre un texte lu par l’enseignant(e),Comprendre des mots lu par l’enseignant(e),Comprendre des phrases lues par l’enseignant(e),Reconnaitre des lettres,Discriminer des sons,Lire des nombres,Résoudre des problèmes,Quantifier et dénombrer,Comparer des nombres,Reproduire un assemblage,Ecrire des nombres ,Placer un nombre sur une ligne numérique,Niveau scolaire,Comprendre un texte lu seul(e),Comprendre des phrases lues seul(e),Comprendre des mots et des phrases lus par l’enseignant(e),Écrire des syllabes,Lire,Reconnaitre des nombres,Calculer en ligne,Calculer mentalement,Ecrire des nombres,Reproduire des assemblages,Comprendre un texte lu par l'enseigant(e),Ecrire des mots dictés,Orthographe de base,Se reperer dans la phrase,"Nommer, lire, écrire, représenter des nombres",Calculer,Ordonner des nombres,Comprendre des textes à l'oral,Maîtriser l’orthographe grammaticale de base,Se repérer dans une phrase,Construire le lexique,Comprendre un texte lu seul(e) ,Écrire des mots (dictés),Lire et comprendre un texte,Comprendre le fonctionnement de la langue : Comprendre et mobiliser le lexique,Comprendre et s'exprimer à l'oral : comprendre un message oral,Comprendre le fonctionnement de la langue : Se repérer dans une phrase et identifier sa composition,Comprendre le fonctionnement de la langue : maîtriser l'orthographe,Automatismes : Mobiliser directement des procédures et des connaissances,"Résolution de problème : résoudre des problèmes en utilisant des nombres, des données et des grandeurs",Espaces et géométrie : connaître et utiliser des notions de géométrie,Grandeurs et mesures : Connaître des grandeurs et utiliser des mesures,Nombres et calcul : connaître les nombres et les utiliser dans les calculs,Connaître et utiliser des données et la notion de fonction,Calcul littéral : Utiliser des expressions littérales pour traduire ou résoudre des problèmes,Nombres et calcul : Connaître les nombres et les utiliser dans des calculs,Calcul littéral : Connaître et utiliser des données et la notion de fonction
Lycée Montaigne,Liban,Beit Chabab,EPA,69.30,nan,nan,nan,nan,nan,65.50,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,103.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.40,62.60,nan,nan,65.50,71.10,66.80,61.50,75.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Etablissement scolaire français Blaise Pascal,RDC,Lubumbashi,EPA,81.60,nan,nan,nan,nan,nan,61.70,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,124.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.10,53.70,nan,nan,78.70,76.90,82.30,73.50,74.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Agadir,Maroc,Agadir,EPR,80.00,nan,nan,nan,nan,nan,65.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,99.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.00,56.00,nan,nan,76.00,76.00,80.00,70.00,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Louis Massignon,Maroc,Bouskoura,EPR,77.00,nan,nan,nan,nan,nan,73.75,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,100.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.50,62.25,nan,nan,75.75,82.25,80.75,70.75,79.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français international Alphonse Daudet,Maroc,Casablanca,EPR,88.00,nan,nan,nan,nan,nan,78.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,102.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.00,72.00,nan,nan,81.00,90.00,89.00,81.00,84.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Odette du Puigaudeau,Maroc,Dakhla,EPR,60.00,nan,nan,nan,nan,nan,46.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,110.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.00,60.00,nan,nan,60.00,60.00,60.00,56.00,59.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI Jean Charcot,Maroc,El Jadida,EPR,79.00,nan,nan,nan,nan,nan,63.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,105.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,70.00,46.00,nan,nan,60.00,71.00,70.00,69.00,73.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Eric Tabarly,Maroc,Essaouira,EPR,84.00,nan,nan,nan,nan,nan,73.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,92.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.00,69.00,nan,nan,72.00,66.00,64.00,86.00,81.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Paul Pascon,Maroc,Laayoune,EPR,77.00,nan,nan,nan,nan,nan,80.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,103.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.00,75.00,nan,nan,78.00,86.00,79.00,68.00,82.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Jacques Majorelle,Maroc,Marrakech,EPR,87.50,nan,nan,nan,nan,nan,75.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,116.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.00,79.50,nan,nan,72.50,83.50,77.00,81.50,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI André Malraux,Maroc,Rabat,EPR,81.00,nan,nan,nan,nan,nan,69.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,104.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,76.00,65.00,nan,nan,78.00,80.00,82.00,72.00,81.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Le Détroit,Maroc,Tanger,EPR,81.00,nan,nan,nan,nan,nan,66.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,110.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,76.00,53.00,nan,nan,76.00,83.00,85.00,76.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire SandrinéO,Maroc,Oujda,EPA,79.00,nan,nan,nan,nan,nan,65.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,114.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.00,54.00,nan,nan,66.00,74.00,74.00,65.00,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comilog / Ecole de Moanda,Gabon,Moanda,EE,65.00,nan,nan,nan,nan,nan,49.00,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,65.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,55.40,59.70,nan,nan,53.00,57.00,65.00,53.00,58.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire Grain de Soleil,Côte d'Ivoire,Abidjan,EPA,75.44,nan,nan,nan,nan,nan,54.88,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,87.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.24,54.89,nan,nan,73.84,75.64,76.30,65.62,80.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
APEH / Petite Ecole d'Hydra,Algérie,Alger,EE,89.10,nan,nan,nan,nan,nan,83.60,nan,nan,nan,nan,nan,CM2,nan,nan,nan,nan,66.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.27,71.63,nan,nan,80.05,81.55,78.00,82.00,85.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Bahreïn,Bahreïn,Muharraq,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.00,63.00,48.00,50.00,56.00,50.00,61.00,64.50,63.50,49.50,nan,nan,nan,nan
Lycée français d'Alexandrie,Egypte,Alexandrie,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.00,55.00,61.00,51.00,50.00,44.00,58.00,59.00,66.00,47.00,nan,nan,nan,nan
Lycée français Pierre Deschamps,Espagne,Alicante,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.00,63.00,76.00,48.00,53.00,36.00,61.00,58.00,68.00,48.00,nan,nan,nan,nan
Lycée français René Verneau,Espagne,Las Palmas,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.00,50.00,67.00,68.00,31.00,31.00,59.00,49.00,67.00,44.00,nan,nan,nan,nan
Lycée français de Palma De Majorque,Espagne,Palma de Majorque,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56.00,59.50,49.50,66.50,47.50,nan,nan,nan,nan
Collège français international Marguerite Yourcenar,Espagne,Reus,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.00,57.00,66.00,42.00,44.00,29.00,46.00,51.00,51.00,39.00,nan,nan,nan,nan
Lycée Français International Jules-Verne ,Espagne,Santa Cruz de Tenerife,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.00,54.00,57.00,54.00,44.00,nan,nan,nan,nan
Lycée Molière - Villanueva de la Cañada,Espagne,Villanueva de la Cañada,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.00,61.00,53.00,64.00,44.00,nan,nan,nan,nan
Lycée français d'Agadir,Maroc,Agadir,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.00,65.00,77.00,50.00,54.00,51.00,55.00,52.00,57.00,52.00,nan,nan,nan,nan
Groupe scolaire OSUI Louis Massignon,Maroc,Bouskoura,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.00,67.00,82.00,56.00,59.00,66.00,67.00,60.00,70.00,59.00,nan,nan,nan,nan
Lycée français international Alphonse Daudet,Maroc,Casablanca,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.00,56.00,74.00,51.00,49.00,58.00,62.00,59.00,64.00,55.00,nan,nan,nan,nan
Ecole OSUI Odette du Puigaudeau,Maroc,Dakhla,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.00,60.00,48.00,50.00,49.00,35.00,51.00,52.00,54.00,42.00,nan,nan,nan,nan
Lycée OSUI Jean Charcot,Maroc,El Jadida,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.00,68.00,49.00,45.00,57.00,50.00,67.00,60.00,72.00,46.00,nan,nan,nan,nan
Ecole OSUI Paul Pascon,Maroc,Laayoune,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.00,61.00,57.00,68.00,57.00,nan,nan,nan,nan
Lycée OSUI André Malraux,Maroc,Rabat,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.00,65.00,79.00,54.00,57.00,56.00,63.00,57.00,66.00,52.00,nan,nan,nan,nan
Groupe scolaire OSUI Jacques Majorelle,Maroc,Marrakech,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.00,60.00,78.00,51.00,51.00,57.00,63.00,52.00,55.00,62.00,nan,nan,nan,nan
Groupe scolaire OSUI Le Détroit,Maroc,Tanger,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.00,65.00,45.00,47.00,53.00,47.00,56.00,46.00,59.00,49.00,nan,nan,nan,nan
Comilog / Lycée Henri-Sylvoz,Gabon,Moanda,EE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.00,42.00,53.00,40.00,41.00,28.00,41.00,39.00,43.00,40.00,nan,nan,nan,nan
Lycée français d'Al-Khobar,Arabie saoudite,Al-Khobar,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66.00,61.00,67.00,53.00,54.00,67.00,64.00,70.00,70.00,59.00,nan,nan,nan,nan
École française internationale de Djeddah,Arabie saoudite,Djeddah,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.33,59.00,58.00,59.67,54.67,nan,nan,nan,nan
Lycée international Xavier,Corée du Sud,Séoul,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63.00,68.00,55.00,56.00,56.00,41.00,66.00,75.00,82.00,56.00,nan,nan,nan,nan
Lycée français Théodore Monod,Emirats arabes unis,Abu Dhabi,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.00,66.00,53.00,57.00,61.00,31.33,57.33,51.00,62.67,43.00,nan,nan,nan,nan
École bilingue de Berkeley,Etats-Unis,Berkeley,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.00,60.00,81.00,42.00,39.00,40.00,62.00,48.00,64.00,51.00,nan,nan,nan,nan
Lycée international de Boston,Etats-Unis,Boston,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.00,63.00,46.00,48.00,57.00,71.00,72.00,60.00,73.00,65.00,nan,nan,nan,nan
Lycée Montaigne,Liban,Beit Chabab,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.50,68.50,56.75,63.25,60.00,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Bahreïn,Bahreïn,Muharraq,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.00,72.00,75.00,39.00,44.00,55.00,54.00,61.00,55.00,55.00,53.00,nan,nan,nan
Lycée français d'Alexandrie,Egypte,Alexandrie,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.00,59.00,80.00,35.00,39.00,58.00,44.00,54.00,61.00,57.00,50.00,nan,nan,nan
Lycée français Pierre Deschamps,Espagne,Alicante,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55.00,72.00,78.00,32.00,38.00,56.00,47.00,42.00,43.00,57.00,47.00,nan,nan,nan
Lycée français René Verneau,Espagne,Las Palmas,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,68.00,83.00,76.00,47.00,43.00,66.00,56.00,63.00,52.00,66.00,60.00,nan,nan,nan
Lycée français de Palma De Majorque,Espagne,Palma de Majorque,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.00,73.00,66.00,34.00,37.00,55.00,47.00,51.00,43.00,51.00,40.00,nan,nan,nan
Collège français international Marguerite Yourcenar,Espagne,Reus,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.00,50.00,42.00,46.00,57.00,51.00,nan,nan,nan
Lycée Français International Jules-Verne ,Espagne,Santa Cruz de Tenerife,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.00,48.00,52.00,56.00,57.00,43.00,nan,nan,nan
Lycée Molière - Villanueva de la Cañada,Espagne,Villanueva de la Cañada,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.00,50.00,57.00,52.00,61.00,51.00,nan,nan,nan
Lycée français d'Agadir,Maroc,Agadir,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.00,77.00,81.00,33.00,41.00,58.00,48.00,50.00,52.00,58.00,47.00,nan,nan,nan
Groupe scolaire OSUI Louis Massignon,Maroc,Bouskoura,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,70.00,86.00,87.00,42.00,44.00,70.00,57.00,62.00,64.00,70.00,57.00,nan,nan,nan
Lycée français international Alphonse Daudet,Maroc,Casablanca,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63.00,80.00,82.00,34.00,39.00,59.00,45.00,50.00,47.00,58.00,44.00,nan,nan,nan
Ecole OSUI Odette du Puigaudeau,Maroc,Dakhla,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.00,76.00,71.00,36.00,49.00,56.00,38.00,48.00,52.00,52.00,36.00,nan,nan,nan
Lycée OSUI Jean Charcot,Maroc,El Jadida,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.00,80.00,70.00,36.00,39.00,70.00,61.00,36.00,39.00,82.00,nan,nan,nan,nan
Ecole OSUI Paul Pascon,Maroc,Laayoune,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.00,43.00,37.00,57.00,61.00,41.00,nan,nan,nan
Lycée OSUI André Malraux,Maroc,Rabat,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.00,83.00,81.00,50.00,47.00,63.00,53.00,50.00,54.00,62.00,54.00,nan,nan,nan
Groupe scolaire OSUI Jacques Majorelle,Maroc,Marrakech,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.00,85.00,84.00,44.00,43.00,65.00,50.00,59.00,59.00,63.00,49.00,nan,nan,nan
Groupe scolaire OSUI Le Détroit,Maroc,Tanger,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.00,78.00,76.00,37.00,39.00,62.00,51.00,53.00,58.00,63.00,43.00,nan,nan,nan
Comilog / Lycée Henri-Sylvoz,Gabon,Moanda,EE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66.00,76.00,82.00,47.00,45.00,67.00,56.00,64.00,61.00,70.00,50.00,nan,nan,nan
Lycée français d'Al-Khobar,Arabie saoudite,Al-Khobar,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66.00,49.00,53.00,62.00,63.00,44.00,nan,nan,nan
École française internationale de Djeddah,Arabie saoudite,Djeddah,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.00,62.00,64.00,59.00,71.00,58.00,nan,nan,nan
Lycée international Xavier,Corée du Sud,Séoul,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.00,77.00,84.00,36.00,44.00,80.00,69.00,77.00,77.00,73.00,nan,nan,nan,nan
Lycée français Théodore Monod,Emirats arabes unis,Abu Dhabi,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.00,79.00,80.00,38.00,43.00,78.00,70.00,70.00,72.00,81.00,66.00,nan,nan,nan
École bilingue de Berkeley,Etats-Unis,Berkeley,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.00,75.00,74.00,44.00,48.00,65.00,55.00,54.00,64.00,64.00,55.00,nan,nan,nan
Lycée international de Boston,Etats-Unis,Boston,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.00,63.00,46.00,48.00,57.00,71.00,72.00,60.00,73.00,65.00,nan,nan,nan,nan
Lycée Montaigne,Liban,Beit Chabab,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.50,68.50,56.75,63.25,60.00,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Bahreïn,Bahreïn,Muharraq,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2nde,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.00,76.00,33.00,63.00,71.00,69.00,nan,51.00,nan,nan,nan,44.00,64.00,59.00
Lycée français d'Alexandrie,Egypte,Alexandrie,EPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2nde,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.00,48.00,53.00,63.00,76.00,53.00,nan,43.00,nan,nan,nan,44.00,52.00,59.00
